question,column number of the question in survey data,question category,positive/negative phrasing of the question
Is talkative,1,Extraversion,1
Tends to find fault with others,2,Agreeableness,-1
Does a thorough job,3,Conscientiousness,1
"Is depressed, blue",4,Neuroticism,1
"Is original, comes up with new ideas",5,Openness,1
Is reserved,6,Extraversion,-1
Is helpful and unselfish with others,7,Agreeableness,1
Can be somewhat careless,8,Conscientiousness,-1
"Is relaxed, handles stress well",9,Neuroticism,-1
Is curious about many different things,10,Openness,1
Is full of energy,11,Extraversion,1
Starts quarrels with others,12,Agreeableness,-1
Is a reliable worker,13,Conscientiousness,1
Can be tense,14,Neuroticism,1
"Is ingenious, a deep thinker",15,Openness,1
Generates a lot of enthusiasm,16,Extraversion,1
Has a forgiving nature,17,Agreeableness,1
Tends to be disorganized,18,Conscientiousness,-1
Worries a lot,19,Neuroticism,1
Has an active imagination,20,Openness,1
Tends to be quiet,21,Extraversion,-1
Is generally trusting,22,Agreeableness,1
Tends to be lazy,23,Conscientiousness,-1
"Is emotionally stable, not easily upset",24,Neuroticism,-1
Is inventive,25,Openness,1
Has an assertive personality,26,Extraversion,1
Can be cold and aloof,27,Agreeableness,-1
Perseveres until the task is finished,28,Conscientiousness,1
Can be moody,29,Neuroticism,1
"Values artistic, aesthetic experiences",30,Openness,1
"Is sometimes shy, inhibited",31,Extraversion,-1
Is considerate and kind to almost everyone,32,Agreeableness,1
Does things efficiently,33,Conscientiousness,1
Remains calm in tense situations,34,Neuroticism,-1
Prefers work that is routine,35,Openness,-1
"Is outgoing, sociable",36,Extraversion,1
Is sometimes rude to others,37,Agreeableness,-1
Makes plans and follows through with them,38,Conscientiousness,1
Gets nervous easily,39,Neuroticism,1
"Likes to reflect, play with ideas",40,Openness,1
Has few artistic interests,41,Openness,-1
Likes to cooperate with others,42,Agreeableness,1
Is easily distracted,43,Conscientiousness,-1
"Is sophisticated in art, music, or literature",44,Openness,1
