,g2,g1,g0
0,5518087,3500055.0,3261610.0
1,7801377,3378530.0,2154105.0
2,9414327,4122541.0,7926633.0
3,2744491,2289297.0,8393527.0
4,3628601,8830004.0,6529327.0
5,4922245,7894105.0,8371181.0
6,4262104,9002921.0,7748571.0
7,1784979,4731217.0,2861630.0
8,1702317,2647670.0,8699995.0
9,6311520,5274956.0,1838508.0
10,4411549,9245857.0,3718192.0
11,8519179,4950537.0,5329311.0
12,2302599,2638547.0,6797783.0
13,3199349,5826040.0,8142618.0
14,4006013,5810166.0,9037967.0
15,3195820,5023118.0,6457402.0
16,6839112,9809827.0,9306765.0
17,6057512,6393986.0,8692236.0
18,2152820,8145375.0,9401179.0
19,6165231,8799357.0,2631372.0
20,2618758,6738937.0,1889600.0
21,5961204,3360200.0,4121537.0
22,4376901,8458599.0,3630515.0
23,9744587,3312077.0,4826483.0
24,9837476,9818162.0,5548935.0
25,2767857,9421928.0,
26,5813967,7680659.0,
27,8012852,9176657.0,
28,3962285,6171724.0,
29,3005552,3704966.0,
30,5123916,2272326.0,
31,5865576,3243282.0,
32,9891351,3209321.0,
33,6135450,7098325.0,
34,5441260,3068218.0,
35,2336688,8733315.0,
36,1607194,7624796.0,
37,3777033,8718613.0,
38,3417203,2740813.0,
39,9152350,1468005.0,
40,6851949,2409463.0,
41,2447318,8235486.0,
42,4427100,1584309.0,
43,4186751,7851177.0,
44,1304297,9066340.0,
45,5991735,6078374.0,
46,6492931,2297496.0,
47,4708909,7080732.0,
48,9620106,7521635.0,
49,6472420,8975820.0,
50,7449285,8717334.0,
51,4417113,2167944.0,
52,6609618,6772488.0,
53,9810479,6257926.0,
54,2856065,2869121.0,
55,6827055,9742786.0,
56,3817174,8735515.0,
57,3173918,,
58,8109799,,
59,5152483,,
60,9331648,,
61,6861978,,
62,4050962,,
